Location,Camera,Easting,Northing,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,,Location,Logging,,
,814A,289441,1941086,814,a,105,Gray fox,1,,1,6,5.05,,bushnell,814A,Laguna Seca,no,,
,804A,288916,1956673,804,a,115,Gray fox,1,,1,12,21.32,,moultrie,804A,Yalbac,no,,
,812A,286543,1935392,812,a,115,Gray fox,1,,1,17,3.52,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,117,Gray fox,1,,1,6,11.23,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,118,Gray fox,1,,1,17,5.54,,bushnell,812A,Laguna Seca,no,,
,804A,288916,1956673,804,a,124,Gray fox,1,,1,13,22.58,,moultrie,804A,Yalbac,no,,
,814A,289441,1941086,814,a,125,Gray fox,1,,1,7,1.55,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,137,Gray fox,1,,1,7,10.23,,bushnell,814A,Laguna Seca,no,,
,812A,286543,1935392,812,a,145,Gray fox,1,,1,19,21.36,,bushnell,812A,Laguna Seca,no,,
,814A,289441,1941086,814,a,145,Gray fox,1,,1,7,11.47,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,149,Gray fox,1,,1,7,17.48,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,153,Gray fox,1,,1,8,2.39,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,153,Gray fox,1,,1,28,18.32,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,155,Gray fox,1,,1,10,12.28,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,165,Gray fox,1,,1,8,19.31,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,169,Gray fox,1,,1,8,20.44,,bushnell,814A,Laguna Seca,no,,
,814A,289441,1941086,814,a,177,Gray fox,1,,1,9,4.50,,bushnell,814A,Laguna Seca,no,,
,803A,289440,1956750,803,a,182,Gray fox,1,,1,11,10.07,,bushnell,803A,Yalbac,no,,
,814A,289441,1941086,814,a,189,Gray fox,1,,1,10,3.37,,bushnell,814A,Laguna Seca,no,,
