"site","Camera","picture","species.name","Nr","Year","Month","Day","Hour.Exact","Comment","camera.brand","Location.1","Logging","Mammal","Easting.y","Northing.y","Site","Active_Log","obsdate","First_Obs","Last.Record_clean","Days","date_time_obs"
"810B","810B",85,"Baird's Tapir",1,2018,3,6,23.21,"","bushnell","Laguna Seca","no","Yes",286075,1935996,"Laguna Seca","no",2018-03-06,2018-03-05,2018-04-20,46,"2018-03-06 23.21"
"812B","812B",97,"Baird's Tapir",1,2018,3,15,21.58,"","bushnell","Laguna Seca","no","Yes",286540,1935398,"Laguna Seca","no",2018-03-15,2018-03-05,2018-04-20,46,"2018-03-15 21.58"
"812B","812B",370,"Baird's Tapir",1,2018,4,8,20.46,"","bushnell","Laguna Seca","no","Yes",286540,1935398,"Laguna Seca","no",2018-04-08,2018-03-05,2018-04-20,46,"2018-04-08 20.46"
"807B","807B",533,"Baird's Tapir",1,2018,3,28,19.54,"","bushnell","Yalbac","no","Yes",291485,1956145,"Yalbac","no",2018-03-28,2018-03-05,2018-04-20,46,"2018-03-28 19.54"
"810B","810B",790,"Baird's Tapir",1,2018,4,14,6.19,"","bushnell","Laguna Seca","no","Yes",286075,1935996,"Laguna Seca","no",2018-04-14,2018-03-05,2018-04-20,46,"2018-04-14 6.19"
"812C","812C",16,"Baird's Tapir",1,2018,4,25,2.23,"","bushnell","Laguna Seca","no","Yes",286537,1935396,"Laguna Seca","no",2018-04-25,2018-04-20,2018-04-30,10,"2018-04-25 2.23"
"810C","810C",43,"Baird's Tapir",1,2018,4,21,5.11,"","bushnell","Laguna Seca","no","Yes",286074,1935990,"Laguna Seca","no",2018-04-21,2018-04-20,2018-05-22,33,"2018-04-21 5.11"
"810C","810C",58,"Baird's Tapir",2,2018,4,22,3.37,"mom+young","bushnell","Laguna Seca","no","Yes",286074,1935990,"Laguna Seca","no",2018-04-22,2018-04-20,2018-05-22,33,"2018-04-22 3.37"
"810C","810C",149,"Baird's Tapir",1,2018,4,27,23.25,"","bushnell","Laguna Seca","no","Yes",286074,1935990,"Laguna Seca","no",2018-04-27,2018-04-20,2018-05-22,33,"2018-04-27 23.25"
"810C","810C",196,"Baird's Tapir",1,2018,5,4,2.54,"","bushnell","Laguna Seca","no","Yes",286074,1935990,"Laguna Seca","no",2018-05-04,2018-04-20,2018-05-22,33,"2018-05-04 2.54"
