,site,Brand,Conservation,Logging,Hurricane,Fire,Location,Landscape,Lat,Long,Season,mean_bioma,Forest_Los,FL,mean_NDVI,sd_NDVI,Canopy_Height_m,LatLong,NEAR_DIST_ROAD,NEAR_DIST_STRM,Nat_Dist
102,512C,Scoutguard,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.495003,-89.055536,Dry,60.5511,0,No Loss,0.915785878,0.007242878,21.6056,-1558.02687,0.001722066,0.011198324,Yes
103,508C,Scoutguard,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.487131,-89.0684,Dry,106.217,0,No Loss,0.919056559,0.005490892,19.3299,-1557.550779,0.004252638,0.014108264,Yes
104,506D,Bushnell,No,Yes,No,No,Along narrow logging trail,Mature forest,17.69166464,-88.9654652,Rainy,144.449,0,No Loss,0.921962307,0.005889928,19,-1573.947175,0.001612103,0.001279057,No
105,508D,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49258023,-89.06984037,Rainy,116.934,0,No Loss,0.922314517,0.004455256,16.9719,-1558.061329,0.008933246,0.013464818,Yes
106,509D,Bushnell,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.48737723,-89.06511431,Rainy,88.8739,0,No Loss,0.921737797,0.004281147,18.8708,-1557.515252,0.002056775,0.012876863,Yes
107,507D,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49406925,-89.03559796,Rainy,79.0217,0,No Loss,0.924500673,0.004312034,19.9107,-1557.594917,0.001086377,0.001736999,Yes
108,509E,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.48718323,-89.06050026,Rainy,68.3694,0,No Loss,0.925794481,0.004998557,19.3529,-1557.417286,0.001782866,0.011880171,Yes
109,501E,Bushnell,No,Yes,No,No,Along wide logging road,Mature forest,17.69183764,-88.96706322,Rainy,141.674,0,No Loss,0.921798548,0.006601296,21.2688,-1573.990837,9.81E-05,0.002038758,No
110,510FG,Moultrycam,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.48627923,-89.05900324,Rainy,71.1077,0,No Loss,0.924400104,0.005614878,22.6539,-1557.310598,0.00033207,0.011006593,Yes
111,503F,Bushnell,No,Yes,No,No,At Pond,Mature forest,17.69528064,-88.96757322,Rainy,134.925,0,No Loss,0.924161685,0.007195043,17.3749,-1574.306176,0.000432785,0.001397788,No
112,511FG,Moultrycam,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.48776423,-89.05193315,Rainy,79.8986,0,No Loss,0.923714034,0.004234293,17.3352,-1557.319211,0.001084955,0.014567401,Yes
113,502F,Moultrycam,No,Yes,No,No,Along narrow logging trail,Mature forest,17.69205663,-88.98645645,Rainy,139.185,0,No Loss,0.923163473,0.007377387,20.2063,-1574.353427,0.002826303,0.010388132,No
114,509G,Bushnell,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.48889324,-89.039455,Dry,80.7791,0,No Loss,0.923918903,0.004873849,21.106,-1557.201523,0.000802056,0.007498469,Yes
115,512G,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49836125,-89.05144115,Dry,64.8553,0,No Loss,0.920077888,0.005362003,18.9496,-1558.254287,0.001711193,0.007770588,Yes
116,512H,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.48974724,-89.04046202,Dry,82.2955,0,No Loss,0.928158406,0.00296625,16.1713,-1557.295175,0.001563214,0.007957639,Yes
117,508H,Scoutguard,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.44646618,-88.98674235,Dry,73.5178,0,No Loss,0.924897789,0.0033323,18.7835,-1552.504191,0.002547802,0.009327327,Yes
118,509F,Bushnell,No,Yes,Yes,No,Along narrow logging trail,Disturbed High forest,17.48948524,-89.04097702,Rainy,82.1747,0,No Loss,0.926475437,0.0033513,17,-1557.280853,0.001575057,0.008535449,Yes
119,511D,Moultrycam,No,Yes,Yes,No,Along wide logging road,Disturbed High forest,17.49329425,-89.04217804,Rainy,80.6346,0,No Loss,0.92271736,0.003675809,19.546,-1557.641021,0.000497225,0.005613105,Yes
